Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,155.000000,158.649994,151.500000,156.149994,151.976349,4234736
2019-05-15,154.899994,154.899994,142.500000,143.649994,139.810455,8203362
2019-05-16,143.899994,146.000000,135.000000,137.800003,134.116821,6454069
2019-05-17,141.000000,145.949997,133.050003,134.550003,130.953690,9077790
2019-05-20,142.050003,144.899994,137.199997,143.600006,139.761810,6123297
2019-05-21,144.949997,145.000000,138.600006,141.000000,137.231293,4234819
2019-05-22,140.899994,141.550003,135.449997,137.699997,134.019501,5214954
2019-05-23,143.399994,150.750000,138.750000,139.800003,136.063370,9528256
2019-05-24,140.550003,142.850006,139.500000,141.300003,137.523270,3408304
2019-05-27,141.800003,148.600006,141.000000,146.649994,142.730270,5087134
2019-05-28,148.750000,154.899994,148.100006,152.600006,148.521240,6392279
2019-05-29,153.949997,156.000000,150.699997,151.699997,147.645294,3546219
2019-05-30,150.350006,156.449997,149.800003,154.550003,150.419128,5104696
2019-05-31,156.000000,157.000000,147.199997,147.949997,143.995529,5290357
2019-06-03,147.949997,149.899994,144.600006,149.350006,147.350006,3188614
2019-06-04,148.750000,153.800003,148.600006,152.750000,152.750000,3264001
2019-06-06,149.750000,151.250000,142.300003,143.350006,143.350006,5978756
2019-06-07,143.399994,145.500000,136.250000,139.949997,139.949997,5543739
2019-06-10,142.000000,145.000000,132.500000,135.899994,135.899994,6081287
2019-06-11,135.000000,143.550003,133.550003,139.300003,139.300003,5783013
2019-06-12,136.399994,137.550003,133.800003,134.649994,134.649994,4471405
2019-06-13,130.800003,130.800003,116.099998,117.199997,117.199997,14285099
2019-06-14,118.199997,121.000000,113.000000,115.800003,115.800003,9529858
